,Player,Nation,Pos,Age,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,Squad,League
229,Raúl Jiménez,mx MEX,FW,34-007,25.7,944,30,109,407,444,159,941,48,20,41.7,25,52.1,523,2408,1060,33,24,17,66,42,697,123,Matches,Fulham,Premier-League
230,Joachim Andersen,dk DEN,DF,28-346,26.7,2183,304,1128,971,96,21,2183,6,4,66.7,0,0.0,1272,6244,3320,16,14,1,6,3,1515,2,Matches,Fulham,Premier-League
231,Saša Lukić,rs SRB,MF,28-272,24.1,1394,50,303,797,307,18,1394,17,8,47.1,5,29.4,775,4150,2083,37,39,4,22,8,897,29,Matches,Fulham,Premier-League
232,Sander Berge,no NOR,MF,27-087,24.1,1345,78,365,774,212,13,1345,20,11,55.0,6,30.0,785,4325,2000,28,23,2,15,16,873,9,Matches,Fulham,Premier-League
233,Andreas Pereira,br BRA,MF,29-131,21.7,1130,19,162,461,525,42,1129,30,14,46.7,8,26.7,573,2759,1339,29,38,9,27,21,669,80,Matches,Fulham,Premier-League
234,Emile Smith Rowe,eng ENG,MF,24-288,21.6,1173,20,158,564,461,57,1173,34,16,47.1,15,44.1,758,3673,1909,52,40,12,35,16,903,121,Matches,Fulham,Premier-League
235,Kenny Tete,nl NED,DF,29-215,17.7,1096,61,346,457,303,32,1096,20,9,45.0,6,30.0,572,2679,1281,33,20,7,16,10,641,49,Matches,Fulham,Premier-League
236,Timothy Castagne,be BEL,DF,29-158,18.3,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67,Matches,Fulham,Premier-League
237,Adama Traoré,es ESP,"FW,MF",29-107,18.0,746,4,75,264,429,88,746,94,47,50.0,35,37.2,495,4230,2295,91,42,33,34,21,564,148,Matches,Fulham,Premier-League
238,Issa Diop,fr FRA,DF,28-123,14.9,903,125,498,381,26,13,903,2,1,50.0,1,50.0,533,2426,1216,6,2,0,9,2,617,3,Matches,Fulham,Premier-League
239,Harry Wilson,wls WAL,"FW,MF",28-051,12.0,547,9,73,190,294,54,547,24,9,37.5,10,41.7,316,1703,743,18,18,9,16,5,360,89,Matches,Fulham,Premier-League
240,Rodrigo Muniz,br BRA,FW,24-008,10.7,311,14,27,161,127,55,311,18,6,33.3,9,50.0,157,651,187,6,4,3,47,24,237,31,Matches,Fulham,Premier-League
241,Ryan Sessegnon,eng ENG,"FW,DF",24-359,6.1,346,15,86,126,139,42,346,18,5,27.8,10,55.6,170,942,485,15,13,9,19,7,198,56,Matches,Fulham,Premier-League
242,Reiss Nelson,eng ENG,FW,25-153,5.4,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63,Matches,Fulham,Premier-League
243,Jorge Cuenca,es ESP,DF,25-176,2.9,152,23,88,59,6,1,152,2,2,100.0,0,0.0,65,235,116,0,1,0,1,0,92,0,Matches,Fulham,Premier-League
244,Tom Cairney,sct SCO,MF,34-112,5.7,600,6,89,315,205,15,600,12,4,33.3,4,33.3,398,1916,934,15,16,4,6,4,486,32,Matches,Fulham,Premier-League
245,Willian,br BRA,"FW,MF",36-276,2.9,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33,Matches,Fulham,Premier-League
246,Joshua King,eng ENG,MF,18-129,1.0,63,2,8,21,35,8,63,7,4,57.1,3,42.9,25,181,71,1,3,0,1,3,42,13,Matches,Fulham,Premier-League
247,Harrison Reed,eng ENG,MF,30-105,1.2,78,2,11,28,40,5,78,2,0,0.0,1,50.0,31,95,27,1,1,0,2,2,38,7,Matches,Fulham,Premier-League
248,Martial Godo,eng ENG,"FW,DF",22-059,0.3,25,0,1,7,17,7,25,4,1,25.0,3,75.0,18,155,87,2,0,2,0,0,15,6,Matches,Fulham,Premier-League
249,Carlos Vinícius,br BRA,"MF,FW",30-048,0.2,7,0,1,3,3,2,7,1,1,100.0,0,0.0,7,24,11,1,0,1,1,0,6,3,Matches,Fulham,Premier-League
250,Jay Stansfield,eng ENG,MF,22-169,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches,Fulham,Premier-League
251,Dara O'Shea,ie IRL,DF,26-069,32.7,1892,377,1104,673,120,48,1892,2,1,50.0,1,50.0,826,3658,1837,3,2,0,11,4,1082,8,Matches,Ipswich-Town,Premier-League
252,Liam Delap,eng ENG,FW,22-093,28.4,674,29,78,287,331,90,672,86,40,46.5,37,43.0,440,3274,1579,60,46,29,101,58,530,107,Matches,Ipswich-Town,Premier-League
253,Leif Davis,eng ENG,DF,25-120,28.5,1459,115,517,484,477,36,1459,37,13,35.1,17,45.9,659,3571,1940,48,27,10,36,14,770,117,Matches,Ipswich-Town,Premier-League
254,Sam Morsy,eg EGY,MF,33-244,28.6,1557,94,469,887,217,4,1557,24,13,54.2,8,33.3,777,4227,1856,18,20,2,15,11,1038,9,Matches,Ipswich-Town,Premier-League
255,Omari Hutchinson,eng ENG,"MF,FW",21-194,26.7,1146,14,183,485,500,80,1146,123,47,38.2,60,48.8,698,5410,2614,82,36,33,74,56,806,142,Matches,Ipswich-Town,Premier-League
256,Jacob Greaves,eng ENG,DF,24-242,22.5,1263,259,681,502,84,19,1263,5,4,80.0,1,20.0,547,2359,1003,8,9,0,10,2,764,9,Matches,Ipswich-Town,Premier-League
257,Jens Cajuste,se SWE,MF,25-275,20.1,923,59,267,483,187,11,923,46,25,54.3,15,32.6,426,2318,1200,23,21,3,21,15,530,16,Matches,Ipswich-Town,Premier-League
258,Arijanet Muric,xk KVX,GK,26-186,18.0,689,559,672,18,0,0,689,0,0,,0,,405,2088,1178,0,0,0,3,1,321,0,Matches,Ipswich-Town,Premier-League
259,Axel Tuanzebe,cd COD,DF,27-179,17.0,847,94,368,368,117,6,847,10,4,40.0,6,60.0,347,1540,748,9,6,1,11,1,442,9,Matches,Ipswich-Town,Premier-League
260,Cameron Burgess,au AUS,DF,29-203,17.1,982,248,609,327,48,24,982,0,0,,0,,430,1965,1002,2,4,0,3,0,573,4,Matches,Ipswich-Town,Premier-League
261,Ben Johnson,eng ENG,"DF,FW",25-108,15.0,626,60,246,220,163,12,626,24,8,33.3,14,58.3,259,1503,585,16,12,3,23,17,292,33,Matches,Ipswich-Town,Premier-League
262,Kalvin Phillips,eng ENG,MF,29-161,13.7,739,61,223,398,122,5,739,12,5,41.7,6,50.0,310,1489,569,4,5,0,25,10,394,4,Matches,Ipswich-Town,Premier-League
263,Sammie Szmodics,ie IRL,"FW,MF",29-230,10.9,309,17,80,119,116,33,309,12,4,33.3,6,50.0,174,989,399,16,8,7,24,17,189,46,Matches,Ipswich-Town,Premier-League
264,Luke Woolfenden,eng ENG,DF,26-203,13.2,694,147,407,278,9,3,694,0,0,,0,,368,2118,1249,7,3,0,4,0,442,0,Matches,Ipswich-Town,Premier-League
265,Alex Palmer,eng ENG,GK,28-275,12.0,441,371,433,9,0,0,441,0,0,,0,,198,1119,674,0,0,0,2,0,154,0,Matches,Ipswich-Town,Premier-League
266,Wes Burns,wls WAL,"FW,DF",30-170,10.3,350,21,69,129,160,18,350,24,9,37.5,14,58.3,216,1458,696,38,13,10,17,13,220,65,Matches,Ipswich-Town,Premier-League
267,Jack Clarke,eng ENG,"FW,MF",24-170,12.1,501,23,119,204,192,32,501,42,22,52.4,14,33.3,278,2074,1064,34,19,9,21,18,303,48,Matches,Ipswich-Town,Premier-League
268,Julio Enciso,py PAR,"FW,MF",21-109,8.9,374,5,51,191,146,19,374,58,27,46.6,23,39.7,186,1353,735,21,20,8,22,28,241,41,Matches,Ipswich-Town,Premier-League
269,Conor Chaplin,eng ENG,"MF,FW",28-085,8.5,335,7,63,165,112,13,335,8,4,50.0,4,50.0,153,779,407,11,7,0,11,3,229,20,Matches,Ipswich-Town,Premier-League
270,Nathan Broadhead,wls WAL,"MF,FW",27-037,6.7,276,7,38,139,109,19,276,32,16,50.0,14,43.8,152,1079,502,17,14,4,18,11,191,27,Matches,Ipswich-Town,Premier-League
271,Christian Walton,eng ENG,GK,29-184,6.0,242,224,241,1,0,0,242,0,0,,0,,122,572,305,0,0,0,0,0,117,0,Matches,Ipswich-Town,Premier-League
272,Jaden Philogene Bidace,eng ENG,"FW,DF",23-093,5.3,220,10,53,68,101,18,220,18,5,27.8,11,61.1,127,862,305,13,3,5,11,10,133,36,Matches,Ipswich-Town,Premier-League
273,Jack Taylor,ie IRL,MF,26-323,9.2,505,32,153,267,96,8,505,11,4,36.4,4,36.4,239,1447,773,11,10,1,10,6,321,22,Matches,Ipswich-Town,Premier-League
274,Harry Clarke,eng ENG,DF,24-071,4.2,268,18,100,122,47,2,268,2,1,50.0,1,50.0,118,555,222,5,7,0,4,2,163,2,Matches,Ipswich-Town,Premier-League
275,George Hirst,sct SCO,FW,26-086,5.8,168,12,24,57,89,24,168,5,2,40.0,2,40.0,89,468,199,9,2,6,21,13,142,29,Matches,Ipswich-Town,Premier-League
276,Conor Townsend,eng ENG,DF,32-069,3.7,172,28,87,50,38,5,172,0,0,,0,,53,278,136,2,2,0,2,2,75,13,Matches,Ipswich-Town,Premier-League
277,Chiedozie Ogbene,ie IRL,FW,28-011,2.6,70,3,11,19,40,6,70,7,1,14.3,3,42.9,41,330,139,7,2,2,4,2,43,15,Matches,Ipswich-Town,Premier-League
278,Massimo Luongo,au AUS,MF,32-229,2.2,77,9,33,25,19,1,77,0,0,,0,,40,148,25,0,0,0,2,3,44,1,Matches,Ipswich-Town,Premier-League
279,Ben Godfrey,eng ENG,DF,27-117,1.8,68,6,26,33,9,1,68,0,0,,0,,33,202,79,2,2,0,2,1,42,1,Matches,Ipswich-Town,Premier-League
280,Ali Al Hamadi,iq IRQ,FW,23-072,1.5,53,2,6,20,30,9,53,7,4,57.1,3,42.9,29,187,111,4,3,4,7,4,36,14,Matches,Ipswich-Town,Premier-League
281,Marcus Harness,eng ENG,MF,29-077,0.5,22,4,7,2,13,3,22,1,0,0.0,1,100.0,9,49,14,0,0,0,0,0,9,1,Matches,Ipswich-Town,Premier-League
282,George Edmundson,eng ENG,DF,27-254,0.0,3,1,3,0,0,0,3,0,0,,0,,1,2,0,0,0,0,0,0,1,0,Matches,Ipswich-Town,Premier-League
283,Jamie Vardy,eng ENG,FW,38-121,30.5,575,29,60,266,256,109,573,21,9,42.9,10,47.6,276,1436,676,29,12,16,34,13,371,116,Matches,Leicester-City,Premier-League
284,James Justin,eng ENG,DF,27-078,30.7,1829,136,637,830,373,38,1829,30,9,30.0,13,43.3,825,3473,1716,39,26,4,31,15,1023,94,Matches,Leicester-City,Premier-League
285,Wout Faes,be BEL,DF,27-039,29.3,1790,291,892,838,68,27,1790,6,5,83.3,1,16.7,1043,4775,2790,12,13,2,16,6,1191,1,Matches,Leicester-City,Premier-League
286,Victor Bernth Kristiansen,dk DEN,DF,22-147,26.6,1586,113,565,713,321,15,1586,17,8,47.1,8,47.1,802,3843,1808,39,25,5,13,12,874,75,Matches,Leicester-City,Premier-League
287,Mads Hermansen,dk DEN,GK,24-305,26.5,1147,831,1106,43,0,0,1147,1,1,100.0,0,0.0,734,3625,1904,0,0,0,1,0,625,0,Matches,Leicester-City,Premier-League
288,Wilfred Ndidi,ng NGA,MF,28-147,24.9,1351,117,449,667,248,61,1351,33,13,39.4,18,54.5,652,2720,1087,18,23,2,35,33,800,75,Matches,Leicester-City,Premier-League
289,Bilal El Khannouss,ma MAR,"MF,FW",21-002,23.2,1209,18,173,621,427,33,1209,55,31,56.4,21,38.2,700,4303,1995,72,43,12,36,36,810,84,Matches,Leicester-City,Premier-League
290,Boubakary Soumaré,fr FRA,MF,26-074,22.1,1345,64,356,847,155,18,1345,44,27,61.4,13,29.5,800,3680,1908,33,16,4,22,21,941,22,Matches,Leicester-City,Premier-League
291,Harry Winks,eng ENG,MF,29-099,17.1,1158,49,275,746,151,1,1158,12,3,25.0,8,66.7,696,3268,1522,19,13,0,13,8,827,11,Matches,Leicester-City,Premier-League
292,Conor Coady,eng ENG,DF,32-076,17.0,1085,204,604,462,20,8,1085,2,1,50.0,1,50.0,711,3107,1661,3,3,1,4,2,798,0,Matches,Leicester-City,Premier-League
293,Jordan Ayew,gh GHA,"FW,MF",33-243,16.5,731,19,94,373,287,49,730,60,24,40.0,30,50.0,438,2982,1308,43,32,9,54,38,490,78,Matches,Leicester-City,Premier-League
294,Stephy Mavididi,eng ENG,FW,26-346,17.9,863,23,132,327,421,61,863,95,35,36.8,47,49.5,583,4343,2355,91,40,27,39,35,623,138,Matches,Leicester-City,Premier-League
295,Jannik Vestergaard,dk DEN,DF,32-282,15.5,1092,196,572,497,28,10,1092,4,4,100.0,0,0.0,672,2932,1458,3,3,0,2,0,757,2,Matches,Leicester-City,Premier-League
296,Facundo Buonanotte,ar ARG,"FW,MF",20-140,16.7,865,26,128,444,306,39,865,81,28,34.6,49,60.5,474,2985,1349,39,26,9,54,39,524,72,Matches,Leicester-City,Premier-League
297,Caleb Okoli,it ITA,DF,23-303,12.5,806,152,451,325,35,10,806,0,0,,0,,468,2318,1106,3,6,0,10,2,484,2,Matches,Leicester-City,Premier-League
298,Luke Thomas,eng ENG,DF,23-336,10.5,682,40,250,328,108,9,682,5,2,40.0,3,60.0,329,1270,520,4,7,2,10,2,380,15,Matches,Leicester-City,Premier-League
299,Oliver Skipp,eng ENG,MF,24-238,11.7,581,27,133,361,91,8,581,12,7,58.3,5,41.7,335,1354,635,16,7,3,11,7,405,19,Matches,Leicester-City,Premier-League
300,Bobby De Cordova-Reid,jm JAM,FW,32-099,8.3,272,15,49,114,109,16,272,10,0,0.0,8,80.0,174,816,389,14,5,6,11,10,188,48,Matches,Leicester-City,Premier-League
301,Jakub Stolarczyk,pl POL,GK,24-144,8.0,318,238,313,6,0,0,318,0,0,,0,,180,774,478,0,0,0,1,0,178,0,Matches,Leicester-City,Premier-League
302,Kasey McAteer,ie IRL,"FW,MF",23-171,7.6,322,18,63,121,144,25,322,20,3,15.0,13,65.0,195,1227,495,16,11,8,16,13,213,58,Matches,Leicester-City,Premier-League
