,Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,Matches,Squad,League
133,Donovan Léon,gf GUF,GK,32-184,30,30,2700,30.0,44,1.47,153,112,74.5,11,7,12,9,30.0,5,5,0,0,0.0,Matches,Auxerre,Ligue-1
134,Théo De Percin,mq MTQ,GK,24-093,2,2,180,2.0,3,1.5,9,5,77.8,0,1,1,1,50.0,2,1,1,0,50.0,Matches,Auxerre,Ligue-1
135,Marco Bizot,nl NED,GK,34-057,30,30,2700,30.0,48,1.6,117,69,65.0,13,5,12,9,30.0,9,7,1,1,12.5,Matches,Brest,Ligue-1
136,Grégoire Coudert,fr FRA,GK,26-033,2,2,180,2.0,5,2.5,13,9,61.5,1,0,1,0,0.0,0,0,0,0,,Matches,Brest,Ligue-1
137,Arthur Desmas,fr FRA,GK,31-029,18,18,1620,18.0,38,2.11,93,54,61.3,5,0,13,3,16.7,3,2,1,0,33.3,Matches,Le-Havre,Ligue-1
138,Mathieu Gorgelin,fr FRA,GK,34-274,14,14,1260,14.0,28,2.0,73,46,65.8,4,4,6,1,7.1,3,3,0,0,0.0,Matches,Le-Havre,Ligue-1
139,Brice Samba,fr FRA,GK,31-010,15,15,1350,15.0,14,0.93,54,40,81.5,6,6,3,7,46.7,4,4,0,0,0.0,Matches,Lens,Ligue-1
140,Mathew Ryan,au AUS,GK,33-027,12,12,1080,12.0,16,1.33,52,35,73.1,7,0,5,5,41.7,3,2,1,0,33.3,Matches,Lens,Ligue-1
141,Hervé Koffi,bf BFA,GK,28-201,5,5,450,5.0,8,1.6,26,18,76.9,1,0,4,0,0.0,2,2,0,0,0.0,Matches,Lens,Ligue-1
142,Lucas Chevalier,fr FRA,GK,23-180,32,32,2880,32.0,33,1.03,120,88,75.8,16,9,7,11,34.4,4,4,0,0,0.0,Matches,Lille,Ligue-1
143,Lucas Perri,br BRA,GK,27-147,31,31,2790,31.0,42,1.35,152,110,74.3,16,6,9,9,29.0,3,3,0,0,0.0,Matches,Lyon,Ligue-1
144,Rémy Descamps,fr FRA,GK,28-315,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,,Matches,Lyon,Ligue-1
145,Gerónimo Rulli,ar ARG,GK,32-350,32,32,2880,32.0,44,1.37,129,84,68.2,18,5,9,5,15.6,6,3,3,0,50.0,Matches,Marseille,Ligue-1
146,Philipp Köhn,ch SUI,GK,27-034,17,17,1530,17.0,15,0.88,54,39,74.1,10,5,2,7,41.2,1,1,0,0,0.0,Matches,Monaco,Ligue-1
147,Radosław Majecki,pl POL,GK,25-171,15,15,1350,15.0,22,1.47,65,43,69.2,7,2,6,3,20.0,2,2,0,0,0.0,Matches,Monaco,Ligue-1
148,Benjamin Lecomte,fr FRA,GK,34-010,28,28,2520,28.0,62,2.21,159,99,64.2,3,4,21,1,3.6,6,5,1,0,16.7,Matches,Montpellier,Ligue-1
